experiment_id,method,intervention,washout_batches,panel_id,disagreement_factorial,absolute_error_gap_factorial,nll_gap_factorial,brier_gap_factorial,n_seeds,n_scenarios_min,n_scenarios_max
stage_a_uci_v1,sar_complete,factorial:E,0,uci_internal_fixed,0.0,0.0,-5.1154820309707665e-05,-1.3231951373542569e-05,3,2,2
stage_a_uci_v1,sar_complete,factorial:E,4,uci_internal_fixed,-0.0003255208333333333,-0.0003255208333333333,2.920671777545e-05,4.947722413421267e-06,3,2,2
stage_a_uci_v1,sar_complete,factorial:O,0,uci_internal_fixed,0.0,0.0,-9.529789708808781e-09,-5.728783386329169e-09,3,2,2
stage_a_uci_v1,sar_complete,factorial:O,4,uci_internal_fixed,0.0,0.0,0.0,0.0,3,2,2
stage_a_uci_v1,sar_complete,factorial:OE,0,uci_internal_fixed,0.0,0.0,1.9059579417617562e-08,1.1457566772658337e-08,3,2,2
stage_a_uci_v1,sar_complete,factorial:OE,4,uci_internal_fixed,0.0,0.0,0.0,0.0,3,2,2
stage_a_uci_v1,sar_complete,factorial:P,0,uci_internal_fixed,0.0,0.0,6.825607684714125e-07,8.762432252498963e-08,3,2,2
stage_a_uci_v1,sar_complete,factorial:P,4,uci_internal_fixed,0.0,0.0,0.0,0.0,3,2,2
stage_a_uci_v1,sar_complete,factorial:PE,0,uci_internal_fixed,0.0,0.0,1.914094570094662e-07,9.926239673563782e-08,3,2,2
stage_a_uci_v1,sar_complete,factorial:PE,4,uci_internal_fixed,0.0,0.0,0.0,0.0,3,2,2
stage_a_uci_v1,sar_complete,factorial:PO,0,uci_internal_fixed,0.0,0.0,-7.131255383661476e-10,-4.230153166408697e-10,3,2,2
stage_a_uci_v1,sar_complete,factorial:PO,4,uci_internal_fixed,0.0,0.0,0.0,0.0,3,2,2
stage_a_uci_v1,sar_complete,factorial:POE,0,uci_internal_fixed,0.0,0.0,1.4262510767322951e-09,8.460306332817394e-10,3,2,2
stage_a_uci_v1,sar_complete,factorial:POE,4,uci_internal_fixed,0.0,0.0,0.0,0.0,3,2,2
stage_a_uci_v1,tent,factorial:E,0,uci_internal_fixed,0.0,0.0,0.0,0.0,3,2,2
stage_a_uci_v1,tent,factorial:E,4,uci_internal_fixed,0.0,0.0,0.0,0.0,3,2,2
stage_a_uci_v1,tent,factorial:O,0,uci_internal_fixed,0.0,0.0,3.665383278231995e-05,2.3511481071200554e-06,3,2,2
stage_a_uci_v1,tent,factorial:O,4,uci_internal_fixed,0.0,0.0,2.4082765516523304e-05,1.5465519289806565e-06,3,2,2
stage_a_uci_v1,tent,factorial:OE,0,uci_internal_fixed,0.0,0.0,-1.4117215787571672e-22,-8.470329472543003e-22,3,2,2
stage_a_uci_v1,tent,factorial:OE,4,uci_internal_fixed,0.0,0.0,4.517509052022935e-21,-1.4117215787571672e-22,3,2,2
stage_a_uci_v1,tent,factorial:P,0,uci_internal_fixed,-0.0003255208333333333,-0.0003255208333333333,-6.281488685595376e-05,-4.586563479122791e-06,3,2,2
stage_a_uci_v1,tent,factorial:P,4,uci_internal_fixed,0.0,0.0,-4.136873207963868e-05,-3.134532730392041e-06,3,2,2
stage_a_uci_v1,tent,factorial:PE,0,uci_internal_fixed,0.0,0.0,1.4117215787571672e-22,8.470329472543003e-22,3,2,2
stage_a_uci_v1,tent,factorial:PE,4,uci_internal_fixed,0.0,0.0,-4.517509052022935e-21,1.4117215787571672e-22,3,2,2
stage_a_uci_v1,tent,factorial:PO,0,uci_internal_fixed,0.0,0.0,-7.793199405886096e-08,-1.1132375633123818e-08,3,2,2
stage_a_uci_v1,tent,factorial:PO,4,uci_internal_fixed,0.0,0.0,-7.56403465696241e-07,-3.3254578137425557e-07,3,2,2
stage_a_uci_v1,tent,factorial:POE,0,uci_internal_fixed,0.0,0.0,0.0,0.0,3,2,2
stage_a_uci_v1,tent,factorial:POE,4,uci_internal_fixed,0.0,0.0,0.0,0.0,3,2,2
