experiment_id,method,intervention,washout_batches,metric,n_panels,mean,sd,ci95_low,ci95_high,n_seeds_min,n_seeds_max,individual_panels,interval_type
stage_a_uci_v1,sar_complete,factorial:E,0,disagreement_factorial,1,0.0,,,,3,3,"{""uci_internal_fixed"": 0.0}",descriptive panel t interval; design-conditional
stage_a_uci_v1,sar_complete,factorial:E,0,absolute_error_gap_factorial,1,0.0,,,,3,3,"{""uci_internal_fixed"": 0.0}",descriptive panel t interval; design-conditional
stage_a_uci_v1,sar_complete,factorial:E,0,nll_gap_factorial,1,-5.1154820309707665e-05,,,,3,3,"{""uci_internal_fixed"": -5.1154820309707665e-05}",descriptive panel t interval; design-conditional
stage_a_uci_v1,sar_complete,factorial:E,0,brier_gap_factorial,1,-1.3231951373542569e-05,,,,3,3,"{""uci_internal_fixed"": -1.3231951373542569e-05}",descriptive panel t interval; design-conditional
stage_a_uci_v1,sar_complete,factorial:E,4,disagreement_factorial,1,-0.0003255208333333333,,,,3,3,"{""uci_internal_fixed"": -0.0003255208333333333}",descriptive panel t interval; design-conditional
stage_a_uci_v1,sar_complete,factorial:E,4,absolute_error_gap_factorial,1,-0.0003255208333333333,,,,3,3,"{""uci_internal_fixed"": -0.0003255208333333333}",descriptive panel t interval; design-conditional
stage_a_uci_v1,sar_complete,factorial:E,4,nll_gap_factorial,1,2.920671777545e-05,,,,3,3,"{""uci_internal_fixed"": 2.920671777545e-05}",descriptive panel t interval; design-conditional
stage_a_uci_v1,sar_complete,factorial:E,4,brier_gap_factorial,1,4.947722413421267e-06,,,,3,3,"{""uci_internal_fixed"": 4.947722413421267e-06}",descriptive panel t interval; design-conditional
stage_a_uci_v1,sar_complete,factorial:O,0,disagreement_factorial,1,0.0,,,,3,3,"{""uci_internal_fixed"": 0.0}",descriptive panel t interval; design-conditional
stage_a_uci_v1,sar_complete,factorial:O,0,absolute_error_gap_factorial,1,0.0,,,,3,3,"{""uci_internal_fixed"": 0.0}",descriptive panel t interval; design-conditional
