experiment_id,method,intervention,washout_batches,direction,seed,panel_id,accuracy_change,error_change,nll_change,brier_change,ece15_change,n_scenarios
stage_a_uci_v1,sar_complete,all,0,ab,17,uci_internal_fixed,0.0009765625,-0.0009765625,-0.0003305530985385219,-0.0001122874158403786,-0.0009463492381591998,2
stage_a_uci_v1,sar_complete,all,0,ab,29,uci_internal_fixed,0.0,0.0,0.0009240869166181609,0.00013198217162138648,9.28945206515458e-05,2
stage_a_uci_v1,sar_complete,all,0,ab,43,uci_internal_fixed,0.0,0.0,-0.0008977276777570875,-0.00029660514131535365,5.5488833282650585e-05,2
stage_a_uci_v1,sar_complete,all,0,ba,17,uci_internal_fixed,0.0009765625,-0.0009765625,-0.0003305530985385219,-0.0001122874158403786,-0.0009463492381591998,2
stage_a_uci_v1,sar_complete,all,0,ba,29,uci_internal_fixed,0.0,0.0,0.0009240869166181609,0.00013198217162138648,9.28945206515458e-05,2
stage_a_uci_v1,sar_complete,all,0,ba,43,uci_internal_fixed,0.0,0.0,-0.0008977276777570875,-0.00029660514131535365,5.5488833282650585e-05,2
stage_a_uci_v1,sar_complete,all,4,ab,17,uci_internal_fixed,0.0009765625,-0.0009765625,-0.0003305530985385219,-0.0001122874158403786,-0.0009463492381591998,2
stage_a_uci_v1,sar_complete,all,4,ab,29,uci_internal_fixed,0.0,0.0,0.0009240869166181609,0.00013198217162138648,9.28945206515458e-05,2
stage_a_uci_v1,sar_complete,all,4,ab,43,uci_internal_fixed,0.0,0.0,-0.0008977276777570875,-0.00029660514131535365,5.5488833282650585e-05,2
stage_a_uci_v1,sar_complete,all,4,ba,17,uci_internal_fixed,0.0009765625,-0.0009765625,-0.0003305530985385219,-0.0001122874158403786,-0.0009463492381591998,2
stage_a_uci_v1,sar_complete,all,4,ba,29,uci_internal_fixed,0.0,0.0,0.0009240869166181609,0.00013198217162138648,9.28945206515458e-05,2
stage_a_uci_v1,sar_complete,all,4,ba,43,uci_internal_fixed,0.0,0.0,-0.0008977276777570875,-0.00029660514131535365,5.5488833282650585e-05,2
stage_a_uci_v1,sar_complete,aux,0,ab,17,uci_internal_fixed,0.0009765625,-0.0009765625,-0.000332004511763271,-0.00011292444836532786,-0.0009451907883792502,2
stage_a_uci_v1,sar_complete,aux,0,ab,29,uci_internal_fixed,0.0,0.0,0.0009242214712197085,0.0001320868120555374,9.285976565664555e-05,2
stage_a_uci_v1,sar_complete,aux,0,ab,43,uci_internal_fixed,0.0,0.0,-0.0008994909490302391,-0.0002968015220259027,5.718192353570094e-05,2
stage_a_uci_v1,sar_complete,aux,0,ba,17,uci_internal_fixed,0.0009765625,-0.0009765625,-0.000331265605024271,-0.00011261770737117788,-0.0009457931439275499,2
stage_a_uci_v1,sar_complete,aux,0,ba,29,uci_internal_fixed,0.0,0.0,0.0009241076843417607,0.00013200140227438706,9.284489562069558e-05,2
stage_a_uci_v1,sar_complete,aux,0,ba,43,uci_internal_fixed,0.0,0.0,-0.0008977812724003872,-0.0002966110866761528,5.554030812290108e-05,2
stage_a_uci_v1,sar_complete,aux,4,ab,17,uci_internal_fixed,0.0009765625,-0.0009765625,-0.0003305530985385219,-0.0001122874158403786,-0.0009463492381591998,2
stage_a_uci_v1,sar_complete,aux,4,ab,29,uci_internal_fixed,0.0,0.0,0.0009240869166181609,0.00013198217162138648,9.28945206515458e-05,2
stage_a_uci_v1,sar_complete,aux,4,ab,43,uci_internal_fixed,0.0,0.0,-0.0008977276777570875,-0.00029660514131535365,5.5488833282650585e-05,2
