experiment_id,method,intervention,washout_batches,direction,metric,n_panels,mean,sd,ci95_low,ci95_high,n_seeds_min,n_seeds_max,individual_panels,interval_type
stage_a_uci_v1,sar_complete,all,0,ab,accuracy_change,1,0.0003255208333333333,,,,3,3,"{""uci_internal_fixed"": 0.0003255208333333333}",descriptive panel t interval; design-conditional
stage_a_uci_v1,sar_complete,all,0,ab,error_change,1,-0.0003255208333333333,,,,3,3,"{""uci_internal_fixed"": -0.0003255208333333333}",descriptive panel t interval; design-conditional
stage_a_uci_v1,sar_complete,all,0,ab,nll_change,1,-0.00010139795322581617,,,,3,3,"{""uci_internal_fixed"": -0.00010139795322581617}",descriptive panel t interval; design-conditional
stage_a_uci_v1,sar_complete,all,0,ab,brier_change,1,-9.230346184478193e-05,,,,3,3,"{""uci_internal_fixed"": -9.230346184478193e-05}",descriptive panel t interval; design-conditional
stage_a_uci_v1,sar_complete,all,0,ab,ece15_change,1,-0.0002659886280750011,,,,3,3,"{""uci_internal_fixed"": -0.0002659886280750011}",descriptive panel t interval; design-conditional
stage_a_uci_v1,sar_complete,all,0,ba,accuracy_change,1,0.0003255208333333333,,,,3,3,"{""uci_internal_fixed"": 0.0003255208333333333}",descriptive panel t interval; design-conditional
stage_a_uci_v1,sar_complete,all,0,ba,error_change,1,-0.0003255208333333333,,,,3,3,"{""uci_internal_fixed"": -0.0003255208333333333}",descriptive panel t interval; design-conditional
stage_a_uci_v1,sar_complete,all,0,ba,nll_change,1,-0.00010139795322581617,,,,3,3,"{""uci_internal_fixed"": -0.00010139795322581617}",descriptive panel t interval; design-conditional
stage_a_uci_v1,sar_complete,all,0,ba,brier_change,1,-9.230346184478193e-05,,,,3,3,"{""uci_internal_fixed"": -9.230346184478193e-05}",descriptive panel t interval; design-conditional
stage_a_uci_v1,sar_complete,all,0,ba,ece15_change,1,-0.0002659886280750011,,,,3,3,"{""uci_internal_fixed"": -0.0002659886280750011}",descriptive panel t interval; design-conditional
stage_a_uci_v1,sar_complete,all,4,ab,accuracy_change,1,0.0003255208333333333,,,,3,3,"{""uci_internal_fixed"": 0.0003255208333333333}",descriptive panel t interval; design-conditional
stage_a_uci_v1,sar_complete,all,4,ab,error_change,1,-0.0003255208333333333,,,,3,3,"{""uci_internal_fixed"": -0.0003255208333333333}",descriptive panel t interval; design-conditional
stage_a_uci_v1,sar_complete,all,4,ab,nll_change,1,-0.00010139795322581617,,,,3,3,"{""uci_internal_fixed"": -0.00010139795322581617}",descriptive panel t interval; design-conditional
stage_a_uci_v1,sar_complete,all,4,ab,brier_change,1,-9.230346184478193e-05,,,,3,3,"{""uci_internal_fixed"": -9.230346184478193e-05}",descriptive panel t interval; design-conditional
stage_a_uci_v1,sar_complete,all,4,ab,ece15_change,1,-0.0002659886280750011,,,,3,3,"{""uci_internal_fixed"": -0.0002659886280750011}",descriptive panel t interval; design-conditional
stage_a_uci_v1,sar_complete,all,4,ba,accuracy_change,1,0.0003255208333333333,,,,3,3,"{""uci_internal_fixed"": 0.0003255208333333333}",descriptive panel t interval; design-conditional
stage_a_uci_v1,sar_complete,all,4,ba,error_change,1,-0.0003255208333333333,,,,3,3,"{""uci_internal_fixed"": -0.0003255208333333333}",descriptive panel t interval; design-conditional
stage_a_uci_v1,sar_complete,all,4,ba,nll_change,1,-0.00010139795322581617,,,,3,3,"{""uci_internal_fixed"": -0.00010139795322581617}",descriptive panel t interval; design-conditional
