experiment_id,method,intervention,washout_batches,seed,panel_id,disagreement_change,absolute_error_gap_change,nll_gap_change,brier_gap_change,n_scenarios
stage_a_uci_v1,norm,all,0,17,uci_internal_fixed,0.0,0.0,0.0,0.0,2
stage_a_uci_v1,norm,all,0,29,uci_internal_fixed,0.0,0.0,0.0,0.0,2
stage_a_uci_v1,norm,all,0,43,uci_internal_fixed,0.0,0.0,0.0,0.0,2
stage_a_uci_v1,norm,all,4,17,uci_internal_fixed,0.0,0.0,0.0,0.0,2
stage_a_uci_v1,norm,all,4,29,uci_internal_fixed,0.0,0.0,0.0,0.0,2
stage_a_uci_v1,norm,all,4,43,uci_internal_fixed,0.0,0.0,0.0,0.0,2
stage_a_uci_v1,sar_complete,all,0,17,uci_internal_fixed,0.0,0.0,-0.0001579838026641614,-4.0590077020863716e-05,2
stage_a_uci_v1,sar_complete,all,0,29,uci_internal_fixed,0.0,0.0,4.829827729761066e-06,9.50108690903062e-07,2
stage_a_uci_v1,sar_complete,all,0,43,uci_internal_fixed,0.0,0.0,1.7096766298727029e-06,1.9043534972389145e-07,2
stage_a_uci_v1,sar_complete,all,4,17,uci_internal_fixed,-0.0009765625,-0.0009765625,8.762015332635e-05,1.48431672402638e-05,2
stage_a_uci_v1,sar_complete,all,4,29,uci_internal_fixed,0.0,0.0,0.0,0.0,2
stage_a_uci_v1,sar_complete,all,4,43,uci_internal_fixed,0.0,0.0,0.0,0.0,2
stage_a_uci_v1,sar_complete,aux,0,17,uci_internal_fixed,0.0,0.0,-0.00015872270940313362,-4.089681801499635e-05,2
stage_a_uci_v1,sar_complete,aux,0,29,uci_internal_fixed,0.0,0.0,4.94361460767756e-06,1.035518472081165e-06,2
stage_a_uci_v1,sar_complete,aux,0,43,uci_internal_fixed,0.0,0.0,0.0,0.0,2
stage_a_uci_v1,sar_complete,aux,4,17,uci_internal_fixed,-0.0009765625,-0.0009765625,8.762015332635e-05,1.48431672402638e-05,2
stage_a_uci_v1,sar_complete,aux,4,29,uci_internal_fixed,0.0,0.0,0.0,0.0,2
stage_a_uci_v1,sar_complete,aux,4,43,uci_internal_fixed,0.0,0.0,0.0,0.0,2
stage_a_uci_v1,sar_complete,optimizer,0,17,uci_internal_fixed,0.0,0.0,-5.503936163775422e-08,-3.3103654368052404e-08,2
stage_a_uci_v1,sar_complete,optimizer,0,29,uci_internal_fixed,0.0,0.0,0.0,0.0,2
stage_a_uci_v1,sar_complete,optimizer,0,43,uci_internal_fixed,0.0,0.0,0.0,0.0,2
