experiment_id,method,intervention,washout_batches,direction,panel_id,accuracy,nll,brier,ece15,seconds,updates,skipped,recoveries,n_seeds,n_scenarios_min,n_scenarios_max
stage_a_uci_v1,norm,all,0,ab,uci_internal_fixed,0.861328125,0.51379354555466,0.21413016188688805,0.07924768291116553,0.031824149996585484,0.0,0.0,0.0,3,2,2
stage_a_uci_v1,norm,all,0,ba,uci_internal_fixed,0.861328125,0.51379354555466,0.21413016188688805,0.07924768291116553,0.02951886666414788,0.0,0.0,0.0,3,2,2
stage_a_uci_v1,norm,all,4,ab,uci_internal_fixed,0.861328125,0.51379354555466,0.21413016188688805,0.07924768291116553,0.03313918333151373,0.0,0.0,0.0,3,2,2
stage_a_uci_v1,norm,all,4,ba,uci_internal_fixed,0.861328125,0.51379354555466,0.21413016188688805,0.07924768291116553,0.03272861667210231,0.0,0.0,0.0,3,2,2
stage_a_uci_v1,norm,none,0,ab,uci_internal_fixed,0.861328125,0.51379354555466,0.21413016188688805,0.07924768291116553,0.04025223333398265,0.0,0.0,0.0,3,2,2
stage_a_uci_v1,norm,none,0,ba,uci_internal_fixed,0.861328125,0.51379354555466,0.21413016188688805,0.07924768291116553,0.032177666670274115,0.0,0.0,0.0,3,2,2
stage_a_uci_v1,norm,none,4,ab,uci_internal_fixed,0.861328125,0.51379354555466,0.21413016188688805,0.07924768291116553,0.04387875000005195,0.0,0.0,0.0,3,2,2
stage_a_uci_v1,norm,none,4,ba,uci_internal_fixed,0.861328125,0.51379354555466,0.21413016188688805,0.07924768291116553,0.0401119833356157,0.0,0.0,0.0,3,2,2
stage_a_uci_v1,sar_complete,all,0,ab,uci_internal_fixed,0.8616536458333334,0.5136921476014341,0.21403785842504322,0.07898169428309054,0.23330135000045024,16.0,0.0,8.5,3,2,2
stage_a_uci_v1,sar_complete,all,0,ba,uci_internal_fixed,0.8616536458333334,0.5136921476014341,0.21403785842504322,0.07898169428309054,0.20127059999746655,16.0,0.0,8.5,3,2,2
stage_a_uci_v1,sar_complete,all,4,ab,uci_internal_fixed,0.8616536458333334,0.5136921476014341,0.21403785842504322,0.07898169428309054,0.18816196666739415,16.0,0.0,8.5,3,2,2
stage_a_uci_v1,sar_complete,all,4,ba,uci_internal_fixed,0.8616536458333334,0.5136921476014341,0.21403785842504322,0.07898169428309054,0.15160890000212623,16.0,0.0,8.5,3,2,2
