experiment_id,method,intervention,washout_batches,direction,panel_id,metric,n_seeds,mean,seed_sd_descriptive,individual_seeds,scope
stage_a_uci_v1,norm,all,0,ab,uci_internal_fixed,accuracy,3,0.861328125,0.01824369305885684,"{""17"": 0.8583984375, ""29"": 0.8447265625, ""43"": 0.880859375}",same-panel seed variability; no CI or independence claim
stage_a_uci_v1,norm,all,0,ab,uci_internal_fixed,nll,3,0.51379354555466,0.11256224553420208,"{""17"": 0.5040305544153383, ""29"": 0.6309192931941356, ""43"": 0.4064307890545059}",same-panel seed variability; no CI or independence claim
stage_a_uci_v1,norm,all,0,ab,uci_internal_fixed,brier,3,0.21413016188688805,0.03232748370196665,"{""17"": 0.2166566601112965, ""29"": 0.2451202662056445, ""43"": 0.18061355934372308}",same-panel seed variability; no CI or independence claim
stage_a_uci_v1,norm,all,0,ab,uci_internal_fixed,ece15,3,0.07924768291116553,0.015415265423870686,"{""17"": 0.08152206528958006, ""29"": 0.09339940262777335, ""43"": 0.0628215808161432}",same-panel seed variability; no CI or independence claim
stage_a_uci_v1,norm,all,0,ab,uci_internal_fixed,seconds,3,0.031824149996585484,0.0068706095255069615,"{""17"": 0.02630614999361565, ""29"": 0.0296466500003589, ""43"": 0.039519649995781905}",same-panel seed variability; no CI or independence claim
stage_a_uci_v1,norm,all,0,ab,uci_internal_fixed,updates,3,0.0,0.0,"{""17"": 0.0, ""29"": 0.0, ""43"": 0.0}",same-panel seed variability; no CI or independence claim
stage_a_uci_v1,norm,all,0,ab,uci_internal_fixed,skipped,3,0.0,0.0,"{""17"": 0.0, ""29"": 0.0, ""43"": 0.0}",same-panel seed variability; no CI or independence claim
stage_a_uci_v1,norm,all,0,ab,uci_internal_fixed,recoveries,3,0.0,0.0,"{""17"": 0.0, ""29"": 0.0, ""43"": 0.0}",same-panel seed variability; no CI or independence claim
stage_a_uci_v1,norm,all,0,ba,uci_internal_fixed,accuracy,3,0.861328125,0.01824369305885684,"{""17"": 0.8583984375, ""29"": 0.8447265625, ""43"": 0.880859375}",same-panel seed variability; no CI or independence claim
stage_a_uci_v1,norm,all,0,ba,uci_internal_fixed,nll,3,0.51379354555466,0.11256224553420208,"{""17"": 0.5040305544153383, ""29"": 0.6309192931941356, ""43"": 0.4064307890545059}",same-panel seed variability; no CI or independence claim
