experiment_id,method,intervention,washout_batches,direction,metric,n_panels,mean,sd,ci95_low,ci95_high,n_seeds_min,n_seeds_max,individual_panels,interval_type
stage_a_uci_v1,norm,all,0,ab,accuracy_change,1,0.047200520833333336,,,,3,3,"{""uci_internal_fixed"": 0.047200520833333336}",descriptive panel t interval; design-conditional
stage_a_uci_v1,norm,all,0,ab,error_change,1,-0.047200520833333336,,,,3,3,"{""uci_internal_fixed"": -0.047200520833333336}",descriptive panel t interval; design-conditional
stage_a_uci_v1,norm,all,0,ab,nll_change,1,-0.03808533279304773,,,,3,3,"{""uci_internal_fixed"": -0.03808533279304773}",descriptive panel t interval; design-conditional
stage_a_uci_v1,norm,all,0,ab,brier_change,1,-0.058723550560806866,,,,3,3,"{""uci_internal_fixed"": -0.058723550560806866}",descriptive panel t interval; design-conditional
stage_a_uci_v1,norm,all,0,ab,ece15_change,1,0.002173093594947074,,,,3,3,"{""uci_internal_fixed"": 0.002173093594947074}",descriptive panel t interval; design-conditional
stage_a_uci_v1,norm,all,0,ba,accuracy_change,1,0.047200520833333336,,,,3,3,"{""uci_internal_fixed"": 0.047200520833333336}",descriptive panel t interval; design-conditional
stage_a_uci_v1,norm,all,0,ba,error_change,1,-0.047200520833333336,,,,3,3,"{""uci_internal_fixed"": -0.047200520833333336}",descriptive panel t interval; design-conditional
stage_a_uci_v1,norm,all,0,ba,nll_change,1,-0.03808533279304773,,,,3,3,"{""uci_internal_fixed"": -0.03808533279304773}",descriptive panel t interval; design-conditional
stage_a_uci_v1,norm,all,0,ba,brier_change,1,-0.058723550560806866,,,,3,3,"{""uci_internal_fixed"": -0.058723550560806866}",descriptive panel t interval; design-conditional
stage_a_uci_v1,norm,all,0,ba,ece15_change,1,0.002173093594947074,,,,3,3,"{""uci_internal_fixed"": 0.002173093594947074}",descriptive panel t interval; design-conditional
stage_a_uci_v1,norm,all,4,ab,accuracy_change,1,0.047200520833333336,,,,3,3,"{""uci_internal_fixed"": 0.047200520833333336}",descriptive panel t interval; design-conditional
stage_a_uci_v1,norm,all,4,ab,error_change,1,-0.047200520833333336,,,,3,3,"{""uci_internal_fixed"": -0.047200520833333336}",descriptive panel t interval; design-conditional
stage_a_uci_v1,norm,all,4,ab,nll_change,1,-0.03808533279304773,,,,3,3,"{""uci_internal_fixed"": -0.03808533279304773}",descriptive panel t interval; design-conditional
stage_a_uci_v1,norm,all,4,ab,brier_change,1,-0.058723550560806866,,,,3,3,"{""uci_internal_fixed"": -0.058723550560806866}",descriptive panel t interval; design-conditional
stage_a_uci_v1,norm,all,4,ab,ece15_change,1,0.002173093594947074,,,,3,3,"{""uci_internal_fixed"": 0.002173093594947074}",descriptive panel t interval; design-conditional
stage_a_uci_v1,norm,all,4,ba,accuracy_change,1,0.047200520833333336,,,,3,3,"{""uci_internal_fixed"": 0.047200520833333336}",descriptive panel t interval; design-conditional
