experiment_id,seed,panel_id,scenario,washout_batches,direction,method,intervention,accuracy_change,nll_change,brier_change,ece15_change,error_change
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ab,source,none,0.01953125,-0.22122836570593496,-0.04896559712168119,-0.0817673680828434,-0.01953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ba,source,none,0.01953125,-0.22122836570593496,-0.04896559712168119,-0.0817673680828434,-0.01953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ab,source,all,0.01953125,-0.22122836570593496,-0.04896559712168119,-0.0817673680828434,-0.01953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ba,source,all,0.01953125,-0.22122836570593496,-0.04896559712168119,-0.0817673680828434,-0.01953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ab,source,none,0.01953125,-0.22122836570593496,-0.04896559712168119,-0.0817673680828434,-0.01953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ba,source,none,0.01953125,-0.22122836570593496,-0.04896559712168119,-0.0817673680828434,-0.01953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ab,source,all,0.01953125,-0.22122836570593496,-0.04896559712168119,-0.0817673680828434,-0.01953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ba,source,all,0.01953125,-0.22122836570593496,-0.04896559712168119,-0.0817673680828434,-0.01953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ab,tent,none,0.00390625,-0.0015514110031860096,-0.000574712960362489,-0.0026934056804805984,-0.00390625
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ba,tent,none,0.001953125,-0.0015016524636604078,-0.0005442420921869529,-0.001739589661209212,-0.001953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ab,tent,parameters,0.001953125,-0.0006276522042572008,-0.00023921450112779352,-0.0018335109922556214,-0.001953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ba,tent,parameters,0.001953125,-0.0006670907627064349,-0.00026888610356307074,-0.0018093151365224103,-0.001953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ab,tent,optimizer,0.00390625,-0.0013699505271458357,-0.0005158240616398024,-0.002714182574456603,-0.00390625
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ba,tent,optimizer,0.001953125,-0.0012743087319637691,-0.000453806531496459,-0.0017868924294686117,-0.001953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ab,tent,parameters_optimizer,0.001953125,-0.00044849891133602604,-0.00018016294014250311,-0.0018570636446527122,-0.001953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ba,tent,parameters_optimizer,0.001953125,-0.00044849891133602604,-0.00018016294014250311,-0.0018570636446527122,-0.001953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ab,tent,aux,0.00390625,-0.0015514110031860096,-0.000574712960362489,-0.0026934056804805984,-0.00390625
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ba,tent,aux,0.001953125,-0.0015016524636604078,-0.0005442420921869529,-0.001739589661209212,-0.001953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ab,tent,parameters_aux,0.001953125,-0.0006276522042572008,-0.00023921450112779352,-0.0018335109922556214,-0.001953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ba,tent,parameters_aux,0.001953125,-0.0006670907627064349,-0.00026888610356307074,-0.0018093151365224103,-0.001953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ab,tent,optimizer_aux,0.00390625,-0.0013699505271458357,-0.0005158240616398024,-0.002714182574456603,-0.00390625
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ba,tent,optimizer_aux,0.001953125,-0.0012743087319637691,-0.000453806531496459,-0.0017868924294686117,-0.001953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ab,tent,parameters_optimizer_aux,0.001953125,-0.00044849891133602604,-0.00018016294014250311,-0.0018570636446527122,-0.001953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ba,tent,parameters_optimizer_aux,0.001953125,-0.00044849891133602604,-0.00018016294014250311,-0.0018570636446527122,-0.001953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ab,tent,all,0.001953125,-0.00044849891133602604,-0.00018016294014250311,-0.0018570636446527122,-0.001953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ba,tent,all,0.001953125,-0.00044849891133602604,-0.00018016294014250311,-0.0018570636446527122,-0.001953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ab,tent,none,0.005859375,-0.0020020239559088715,-0.0007406898853932753,-0.000990793759122699,-0.005859375
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ba,tent,none,0.005859375,-0.001965840004388042,-0.0007199158301975928,-0.0010028842363503099,-0.005859375
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ab,tent,parameters,0.001953125,-0.0007495726553290449,-0.00029452828711296064,-0.001792151598493219,-0.001953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ba,tent,parameters,0.001953125,-0.0007738151432068463,-0.0003136982460405502,-0.0017762069033617212,-0.001953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ab,tent,optimizer,0.005859375,-0.0017020465454308242,-0.0006274418089385891,-0.0010316037546710122,-0.005859375
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ba,tent,optimizer,0.005859375,-0.0016399832165656658,-0.0005872323518543721,-0.001055045168429719,-0.005859375
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ab,tent,parameters_optimizer,0.001953125,-0.00044849891133602604,-0.00018016294014250311,-0.0018570636446527122,-0.001953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ba,tent,parameters_optimizer,0.001953125,-0.00044849891133602604,-0.00018016294014250311,-0.0018570636446527122,-0.001953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ab,tent,aux,0.005859375,-0.0020020239559088715,-0.0007406898853932753,-0.000990793759122699,-0.005859375
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ba,tent,aux,0.005859375,-0.001965840004388042,-0.0007199158301975928,-0.0010028842363503099,-0.005859375
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ab,tent,parameters_aux,0.001953125,-0.0007495726553290449,-0.00029452828711296064,-0.001792151598493219,-0.001953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ba,tent,parameters_aux,0.001953125,-0.0007738151432068463,-0.0003136982460405502,-0.0017762069033617212,-0.001953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ab,tent,optimizer_aux,0.005859375,-0.0017020465454308242,-0.0006274418089385891,-0.0010316037546710122,-0.005859375
