experiment_id,method,intervention,washout_batches,direction,panel_id,metric,n_seeds,mean,seed_sd_descriptive,individual_seeds,scope
stage_a_uci_v2,sar_complete,all,0,ab,uci_internal_fixed,accuracy_change,3,0.0003255208333333333,0.000563818622255494,"{""17"": 0.0009765625, ""29"": 0.0, ""43"": 0.0}",same-panel seed variability; no CI or independence claim
stage_a_uci_v2,sar_complete,all,0,ab,uci_internal_fixed,error_change,3,-0.0003255208333333333,0.000563818622255494,"{""17"": -0.0009765625, ""29"": 0.0, ""43"": 0.0}",same-panel seed variability; no CI or independence claim
stage_a_uci_v2,sar_complete,all,0,ab,uci_internal_fixed,nll_change,3,-0.00010139795322581617,0.0009322747258920668,"{""17"": -0.0003305530985385219, ""29"": 0.0009240869166181609, ""43"": -0.0008977276777570875}",same-panel seed variability; no CI or independence claim
stage_a_uci_v2,sar_complete,all,0,ab,uci_internal_fixed,brier_change,3,-9.230346184478193e-05,0.00021499137195607967,"{""17"": -0.0001122874158403786, ""29"": 0.00013198217162138648, ""43"": -0.00029660514131535365}",same-panel seed variability; no CI or independence claim
stage_a_uci_v2,sar_complete,all,0,ab,uci_internal_fixed,ece15_change,3,-0.0002659886280750011,0.0005895063326016881,"{""17"": -0.0009463492381591998, ""29"": 9.28945206515458e-05, ""43"": 5.5488833282650585e-05}",same-panel seed variability; no CI or independence claim
stage_a_uci_v2,sar_complete,all,0,ba,uci_internal_fixed,accuracy_change,3,0.0003255208333333333,0.000563818622255494,"{""17"": 0.0009765625, ""29"": 0.0, ""43"": 0.0}",same-panel seed variability; no CI or independence claim
stage_a_uci_v2,sar_complete,all,0,ba,uci_internal_fixed,error_change,3,-0.0003255208333333333,0.000563818622255494,"{""17"": -0.0009765625, ""29"": 0.0, ""43"": 0.0}",same-panel seed variability; no CI or independence claim
stage_a_uci_v2,sar_complete,all,0,ba,uci_internal_fixed,nll_change,3,-0.00010139795322581617,0.0009322747258920668,"{""17"": -0.0003305530985385219, ""29"": 0.0009240869166181609, ""43"": -0.0008977276777570875}",same-panel seed variability; no CI or independence claim
stage_a_uci_v2,sar_complete,all,0,ba,uci_internal_fixed,brier_change,3,-9.230346184478193e-05,0.00021499137195607967,"{""17"": -0.0001122874158403786, ""29"": 0.00013198217162138648, ""43"": -0.00029660514131535365}",same-panel seed variability; no CI or independence claim
stage_a_uci_v2,sar_complete,all,0,ba,uci_internal_fixed,ece15_change,3,-0.0002659886280750011,0.0005895063326016881,"{""17"": -0.0009463492381591998, ""29"": 9.28945206515458e-05, ""43"": 5.5488833282650585e-05}",same-panel seed variability; no CI or independence claim
stage_a_uci_v2,sar_complete,all,4,ab,uci_internal_fixed,accuracy_change,3,0.0003255208333333333,0.000563818622255494,"{""17"": 0.0009765625, ""29"": 0.0, ""43"": 0.0}",same-panel seed variability; no CI or independence claim
stage_a_uci_v2,sar_complete,all,4,ab,uci_internal_fixed,error_change,3,-0.0003255208333333333,0.000563818622255494,"{""17"": -0.0009765625, ""29"": 0.0, ""43"": 0.0}",same-panel seed variability; no CI or independence claim
stage_a_uci_v2,sar_complete,all,4,ab,uci_internal_fixed,nll_change,3,-0.00010139795322581617,0.0009322747258920668,"{""17"": -0.0003305530985385219, ""29"": 0.0009240869166181609, ""43"": -0.0008977276777570875}",same-panel seed variability; no CI or independence claim
stage_a_uci_v2,sar_complete,all,4,ab,uci_internal_fixed,brier_change,3,-9.230346184478193e-05,0.00021499137195607967,"{""17"": -0.0001122874158403786, ""29"": 0.00013198217162138648, ""43"": -0.00029660514131535365}",same-panel seed variability; no CI or independence claim
stage_a_uci_v2,sar_complete,all,4,ab,uci_internal_fixed,ece15_change,3,-0.0002659886280750011,0.0005895063326016881,"{""17"": -0.0009463492381591998, ""29"": 9.28945206515458e-05, ""43"": 5.5488833282650585e-05}",same-panel seed variability; no CI or independence claim
stage_a_uci_v2,sar_complete,all,4,ba,uci_internal_fixed,accuracy_change,3,0.0003255208333333333,0.000563818622255494,"{""17"": 0.0009765625, ""29"": 0.0, ""43"": 0.0}",same-panel seed variability; no CI or independence claim
stage_a_uci_v2,sar_complete,all,4,ba,uci_internal_fixed,error_change,3,-0.0003255208333333333,0.000563818622255494,"{""17"": -0.0009765625, ""29"": 0.0, ""43"": 0.0}",same-panel seed variability; no CI or independence claim
stage_a_uci_v2,sar_complete,all,4,ba,uci_internal_fixed,nll_change,3,-0.00010139795322581617,0.0009322747258920668,"{""17"": -0.0003305530985385219, ""29"": 0.0009240869166181609, ""43"": -0.0008977276777570875}",same-panel seed variability; no CI or independence claim
stage_a_uci_v2,sar_complete,all,4,ba,uci_internal_fixed,brier_change,3,-9.230346184478193e-05,0.00021499137195607967,"{""17"": -0.0001122874158403786, ""29"": 0.00013198217162138648, ""43"": -0.00029660514131535365}",same-panel seed variability; no CI or independence claim
stage_a_uci_v2,sar_complete,all,4,ba,uci_internal_fixed,ece15_change,3,-0.0002659886280750011,0.0005895063326016881,"{""17"": -0.0009463492381591998, ""29"": 9.28945206515458e-05, ""43"": 5.5488833282650585e-05}",same-panel seed variability; no CI or independence claim
