experiment_id,seed,panel_id,scenario,washout_batches,direction,method,intervention,accuracy_change,nll_change,brier_change,ece15_change,error_change
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ab,source,all,0.0,0.0,0.0,0.0,-0.0
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ba,source,all,0.0,0.0,0.0,0.0,-0.0
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ab,source,all,0.0,0.0,0.0,0.0,-0.0
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ba,source,all,0.0,0.0,0.0,0.0,-0.0
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ab,norm,all,0.0,0.0,0.0,0.0,-0.0
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ba,norm,all,0.0,0.0,0.0,0.0,-0.0
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ab,norm,all,0.0,0.0,0.0,0.0,-0.0
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ba,norm,all,0.0,0.0,0.0,0.0,-0.0
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ab,tent,parameters,-0.001953125,0.0009237587989288087,0.00033549845923469546,0.0008598946882249769,0.001953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ba,tent,parameters,0.0,0.000834561700953973,0.0002753559886238821,-6.972547531319817e-05,-0.0
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ab,tent,optimizer,0.0,0.0001814604760401739,5.8888898722686545e-05,-2.0776893976004462e-05,-0.0
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ba,tent,optimizer,0.0,0.00022734373169663868,9.043556069049385e-05,-4.730276825939961e-05,-0.0
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ab,tent,parameters_optimizer,-0.001953125,0.0011029120918499835,0.00039455002021998586,0.0008363420358278861,0.001953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ba,tent,parameters_optimizer,0.0,0.0010531535523243818,0.00036407915204444974,-0.00011747398344350013,-0.0
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ab,tent,aux,0.0,0.0,0.0,0.0,-0.0
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ba,tent,aux,0.0,0.0,0.0,0.0,-0.0
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ab,tent,parameters_aux,-0.001953125,0.0009237587989288087,0.00033549845923469546,0.0008598946882249769,0.001953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ba,tent,parameters_aux,0.0,0.000834561700953973,0.0002753559886238821,-6.972547531319817e-05,-0.0
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ab,tent,optimizer_aux,0.0,0.0001814604760401739,5.8888898722686545e-05,-2.0776893976004462e-05,-0.0
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ba,tent,optimizer_aux,0.0,0.00022734373169663868,9.043556069049385e-05,-4.730276825939961e-05,-0.0
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ab,tent,parameters_optimizer_aux,-0.001953125,0.0011029120918499835,0.00039455002021998586,0.0008363420358278861,0.001953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ba,tent,parameters_optimizer_aux,0.0,0.0010531535523243818,0.00036407915204444974,-0.00011747398344350013,-0.0
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ab,tent,all,-0.001953125,0.0011029120918499835,0.00039455002021998586,0.0008363420358278861,0.001953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ba,tent,all,0.0,0.0010531535523243818,0.00036407915204444974,-0.00011747398344350013,-0.0
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ab,tent,parameters,-0.00390625,0.0012524513005798266,0.00044616159828031465,-0.0008013578393705201,0.00390625
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ba,tent,parameters,-0.00390625,0.0011920248611811957,0.00040621758415704257,-0.0007733226670114113,0.00390625
