experiment_id,method,intervention,washout_batches,panel_id,disagreement_change,absolute_error_gap_change,nll_gap_change,brier_gap_change,n_seeds,n_scenarios_min,n_scenarios_max
stage_a_uci_v2,norm,all,0,uci_internal_fixed,0.0,0.0,0.0,0.0,3,2,2
stage_a_uci_v2,norm,all,4,uci_internal_fixed,0.0,0.0,0.0,0.0,3,2,2
stage_a_uci_v2,sar_complete,all,0,uci_internal_fixed,0.0,0.0,-5.0481432768175876e-05,-1.3149844326745588e-05,3,2,2
stage_a_uci_v2,sar_complete,all,4,uci_internal_fixed,-0.0003255208333333333,-0.0003255208333333333,2.920671777545e-05,4.947722413421267e-06,3,2,2
stage_a_uci_v2,sar_complete,aux,0,uci_internal_fixed,0.0,0.0,-5.1259698265152024e-05,-1.3287099847638395e-05,3,2,2
stage_a_uci_v2,sar_complete,aux,4,uci_internal_fixed,-0.0003255208333333333,-0.0003255208333333333,2.920671777545e-05,4.947722413421267e-06,3,2,2
stage_a_uci_v2,sar_complete,optimizer,0,uci_internal_fixed,0.0,0.0,-1.8346453879251407e-08,-1.1034551456017469e-08,3,2,2
stage_a_uci_v2,sar_complete,optimizer,4,uci_internal_fixed,0.0,0.0,0.0,0.0,3,2,2
stage_a_uci_v2,sar_complete,optimizer_aux,0,uci_internal_fixed,0.0,0.0,-5.1259698265152024e-05,-1.3287099847638395e-05,3,2,2
stage_a_uci_v2,sar_complete,optimizer_aux,4,uci_internal_fixed,-0.0003255208333333333,-0.0003255208333333333,2.920671777545e-05,4.947722413421267e-06,3,2,2
stage_a_uci_v2,sar_complete,parameters,0,uci_internal_fixed,0.0,0.0,5.875691655050456e-07,3.841613947381158e-08,3,2,2
stage_a_uci_v2,sar_complete,parameters,4,uci_internal_fixed,0.0,0.0,0.0,0.0,3,2,2
stage_a_uci_v2,sar_complete,parameters_aux,0,uci_internal_fixed,0.0,0.0,-5.0481432768175876e-05,-1.3149844326745588e-05,3,2,2
stage_a_uci_v2,sar_complete,parameters_aux,4,uci_internal_fixed,-0.0003255208333333333,-0.0003255208333333333,2.920671777545e-05,4.947722413421267e-06,3,2,2
stage_a_uci_v2,sar_complete,parameters_optimizer,0,uci_internal_fixed,0.0,0.0,5.677964605490619e-07,2.6535557384512378e-08,3,2,2
stage_a_uci_v2,sar_complete,parameters_optimizer,4,uci_internal_fixed,0.0,0.0,0.0,0.0,3,2,2
stage_a_uci_v2,sar_complete,parameters_optimizer_aux,0,uci_internal_fixed,0.0,0.0,-5.0481432768175876e-05,-1.3149844326745588e-05,3,2,2
stage_a_uci_v2,sar_complete,parameters_optimizer_aux,4,uci_internal_fixed,-0.0003255208333333333,-0.0003255208333333333,2.920671777545e-05,4.947722413421267e-06,3,2,2
stage_a_uci_v2,source,all,0,uci_internal_fixed,0.0,0.0,0.0,0.0,3,2,2
stage_a_uci_v2,source,all,4,uci_internal_fixed,0.0,0.0,0.0,0.0,3,2,2
stage_a_uci_v2,tent,all,0,uci_internal_fixed,-0.0003255208333333333,-0.0003255208333333333,-2.6161054073633804e-05,-2.235415372002734e-06,3,2,2
stage_a_uci_v2,tent,all,4,uci_internal_fixed,0.0,0.0,-1.7285966563115378e-05,-1.5879808014113844e-06,3,2,2
stage_a_uci_v2,tent,aux,0,uci_internal_fixed,0.0,0.0,0.0,0.0,3,2,2
stage_a_uci_v2,tent,aux,4,uci_internal_fixed,0.0,0.0,0.0,0.0,3,2,2
stage_a_uci_v2,tent,optimizer,0,uci_internal_fixed,0.0,0.0,3.6692798779349373e-05,2.3567142949366175e-06,3,2,2
stage_a_uci_v2,tent,optimizer,4,uci_internal_fixed,0.0,0.0,2.4460967249371428e-05,1.7128248196677843e-06,3,2,2
stage_a_uci_v2,tent,optimizer_aux,0,uci_internal_fixed,0.0,0.0,3.6692798779349373e-05,2.3567142949366175e-06,3,2,2
stage_a_uci_v2,tent,optimizer_aux,4,uci_internal_fixed,0.0,0.0,2.4460967249371428e-05,1.7128248196677843e-06,3,2,2
stage_a_uci_v2,tent,parameters,0,uci_internal_fixed,-0.0003255208333333333,-0.0003255208333333333,-6.277592085892432e-05,-4.580997291306228e-06,3,2,2
stage_a_uci_v2,tent,parameters,4,uci_internal_fixed,0.0,0.0,-4.0990530346790564e-05,-2.968259839704913e-06,3,2,2
stage_a_uci_v2,tent,parameters_aux,0,uci_internal_fixed,-0.0003255208333333333,-0.0003255208333333333,-6.277592085892432e-05,-4.580997291306228e-06,3,2,2
stage_a_uci_v2,tent,parameters_aux,4,uci_internal_fixed,0.0,0.0,-4.0990530346790564e-05,-2.968259839704913e-06,3,2,2
stage_a_uci_v2,tent,parameters_optimizer,0,uci_internal_fixed,-0.0003255208333333333,-0.0003255208333333333,-2.6161054073633804e-05,-2.235415372002734e-06,3,2,2
stage_a_uci_v2,tent,parameters_optimizer,4,uci_internal_fixed,0.0,0.0,-1.7285966563115378e-05,-1.5879808014113844e-06,3,2,2
stage_a_uci_v2,tent,parameters_optimizer_aux,0,uci_internal_fixed,-0.0003255208333333333,-0.0003255208333333333,-2.6161054073633804e-05,-2.235415372002734e-06,3,2,2
stage_a_uci_v2,tent,parameters_optimizer_aux,4,uci_internal_fixed,0.0,0.0,-1.7285966563115378e-05,-1.5879808014113844e-06,3,2,2
