experiment_id,method,intervention,washout_batches,direction,seed,panel_id,accuracy,nll,brier,ece15,seconds,updates,skipped,recoveries,n_scenarios
stage_a_uci_v2,norm,all,0,ab,17,uci_internal_fixed,0.8583984375,0.5040305544153383,0.2166566601112965,0.08152206528958006,0.05302849999861785,0.0,0.0,0.0,2
stage_a_uci_v2,norm,all,0,ab,29,uci_internal_fixed,0.8447265625,0.6309192931941356,0.2451202662056445,0.09339940262777335,0.07612949999747795,0.0,0.0,0.0,2
stage_a_uci_v2,norm,all,0,ab,43,uci_internal_fixed,0.880859375,0.4064307890545059,0.18061355934372308,0.0628215808161432,0.049283699998341,0.0,0.0,0.0,2
stage_a_uci_v2,norm,all,0,ba,17,uci_internal_fixed,0.8583984375,0.5040305544153383,0.2166566601112965,0.08152206528958006,0.0503061999988858,0.0,0.0,0.0,2
stage_a_uci_v2,norm,all,0,ba,29,uci_internal_fixed,0.8447265625,0.6309192931941356,0.2451202662056445,0.09339940262777335,0.07544725000479949,0.0,0.0,0.0,2
stage_a_uci_v2,norm,all,0,ba,43,uci_internal_fixed,0.880859375,0.4064307890545059,0.18061355934372308,0.0628215808161432,0.05005800000071755,0.0,0.0,0.0,2
stage_a_uci_v2,norm,all,4,ab,17,uci_internal_fixed,0.8583984375,0.5040305544153383,0.2166566601112965,0.08152206528958006,0.07110039999679425,0.0,0.0,0.0,2
stage_a_uci_v2,norm,all,4,ab,29,uci_internal_fixed,0.8447265625,0.6309192931941356,0.2451202662056445,0.09339940262777335,0.0699812000020756,0.0,0.0,0.0,2
stage_a_uci_v2,norm,all,4,ab,43,uci_internal_fixed,0.880859375,0.4064307890545059,0.18061355934372308,0.0628215808161432,0.04992000000493135,0.0,0.0,0.0,2
stage_a_uci_v2,norm,all,4,ba,17,uci_internal_fixed,0.8583984375,0.5040305544153383,0.2166566601112965,0.08152206528958006,0.06515564999426715,0.0,0.0,0.0,2
stage_a_uci_v2,norm,all,4,ba,29,uci_internal_fixed,0.8447265625,0.6309192931941356,0.2451202662056445,0.09339940262777335,0.0857814000046346,0.0,0.0,0.0,2
stage_a_uci_v2,norm,all,4,ba,43,uci_internal_fixed,0.880859375,0.4064307890545059,0.18061355934372308,0.0628215808161432,0.047123050004302,0.0,0.0,0.0,2
stage_a_uci_v2,norm,none,0,ab,17,uci_internal_fixed,0.8583984375,0.5040305544153383,0.2166566601112965,0.08152206528958006,0.0553335999939008,0.0,0.0,0.0,2
stage_a_uci_v2,norm,none,0,ab,29,uci_internal_fixed,0.8447265625,0.6309192931941356,0.2451202662056445,0.09339940262777335,0.07610514999396395,0.0,0.0,0.0,2
stage_a_uci_v2,norm,none,0,ab,43,uci_internal_fixed,0.880859375,0.4064307890545059,0.18061355934372308,0.0628215808161432,0.05140645000210495,0.0,0.0,0.0,2
stage_a_uci_v2,norm,none,0,ba,17,uci_internal_fixed,0.8583984375,0.5040305544153383,0.2166566601112965,0.08152206528958006,0.05510035000042985,0.0,0.0,0.0,2
stage_a_uci_v2,norm,none,0,ba,29,uci_internal_fixed,0.8447265625,0.6309192931941356,0.2451202662056445,0.09339940262777335,0.0771335500030545,0.0,0.0,0.0,2
stage_a_uci_v2,norm,none,0,ba,43,uci_internal_fixed,0.880859375,0.4064307890545059,0.18061355934372308,0.0628215808161432,0.05011955000372835,0.0,0.0,0.0,2
stage_a_uci_v2,norm,none,4,ab,17,uci_internal_fixed,0.8583984375,0.5040305544153383,0.2166566601112965,0.08152206528958006,0.05452570000488775,0.0,0.0,0.0,2
stage_a_uci_v2,norm,none,4,ab,29,uci_internal_fixed,0.8447265625,0.6309192931941356,0.2451202662056445,0.09339940262777335,0.0719507999965571,0.0,0.0,0.0,2
stage_a_uci_v2,norm,none,4,ab,43,uci_internal_fixed,0.880859375,0.4064307890545059,0.18061355934372308,0.0628215808161432,0.0553734499990241,0.0,0.0,0.0,2
stage_a_uci_v2,norm,none,4,ba,17,uci_internal_fixed,0.8583984375,0.5040305544153383,0.2166566601112965,0.08152206528958006,0.0669201999917277,0.0,0.0,0.0,2
stage_a_uci_v2,norm,none,4,ba,29,uci_internal_fixed,0.8447265625,0.6309192931941356,0.2451202662056445,0.09339940262777335,0.0697605499954079,0.0,0.0,0.0,2
stage_a_uci_v2,norm,none,4,ba,43,uci_internal_fixed,0.880859375,0.4064307890545059,0.18061355934372308,0.0628215808161432,0.04626219999772725,0.0,0.0,0.0,2
stage_a_uci_v2,sar_complete,all,0,ab,17,uci_internal_fixed,0.859375,0.5037000013167998,0.21654437269545612,0.08057571605142086,0.21075705000112066,16.0,0.0,9.0,2
stage_a_uci_v2,sar_complete,all,0,ab,29,uci_internal_fixed,0.8447265625,0.6318433801107537,0.2452522483772659,0.0934922971484249,0.23575235000316752,16.0,0.0,8.5,2
stage_a_uci_v2,sar_complete,all,0,ab,43,uci_internal_fixed,0.880859375,0.4055330613767488,0.18031695420240773,0.06287706964942585,0.21897994999744697,16.0,0.0,8.0,2
stage_a_uci_v2,sar_complete,all,0,ba,17,uci_internal_fixed,0.859375,0.5037000013167998,0.21654437269545612,0.08057571605142086,0.2276359499956015,16.0,0.0,9.0,2
stage_a_uci_v2,sar_complete,all,0,ba,29,uci_internal_fixed,0.8447265625,0.6318433801107537,0.2452522483772659,0.0934922971484249,0.2016100000037113,16.0,0.0,8.5,2
stage_a_uci_v2,sar_complete,all,0,ba,43,uci_internal_fixed,0.880859375,0.4055330613767488,0.18031695420240773,0.06287706964942585,0.2303959499986376,16.0,0.0,8.0,2
stage_a_uci_v2,sar_complete,all,4,ab,17,uci_internal_fixed,0.859375,0.5037000013167998,0.21654437269545612,0.08057571605142086,0.223784900001192,16.0,0.0,9.0,2
stage_a_uci_v2,sar_complete,all,4,ab,29,uci_internal_fixed,0.8447265625,0.6318433801107537,0.2452522483772659,0.0934922971484249,0.1847837000022991,16.0,0.0,8.5,2
stage_a_uci_v2,sar_complete,all,4,ab,43,uci_internal_fixed,0.880859375,0.4055330613767488,0.18031695420240773,0.06287706964942585,0.2135703000021749,16.0,0.0,8.0,2
stage_a_uci_v2,sar_complete,all,4,ba,17,uci_internal_fixed,0.859375,0.5037000013167998,0.21654437269545612,0.08057571605142086,0.2173579500013147,16.0,0.0,9.0,2
stage_a_uci_v2,sar_complete,all,4,ba,29,uci_internal_fixed,0.8447265625,0.6318433801107537,0.2452522483772659,0.0934922971484249,0.21231640000041804,16.0,0.0,8.5,2
stage_a_uci_v2,sar_complete,all,4,ba,43,uci_internal_fixed,0.880859375,0.4055330613767488,0.18031695420240773,0.06287706964942585,0.16941600000427565,16.0,0.0,8.0,2
stage_a_uci_v2,sar_complete,aux,0,ab,17,uci_internal_fixed,0.859375,0.503698549903575,0.21654373566293117,0.08057687450120081,0.3775595999977667,16.0,0.0,9.0,2
stage_a_uci_v2,sar_complete,aux,0,ab,29,uci_internal_fixed,0.8447265625,0.6318435146653553,0.24525235301770004,0.09349226239343,0.2544517000060295,16.0,0.0,8.5,2
stage_a_uci_v2,sar_complete,aux,0,ab,43,uci_internal_fixed,0.880859375,0.40553129810547567,0.1803167578216972,0.06287876273967889,0.22754749999876367,16.0,0.0,8.0,2
stage_a_uci_v2,sar_complete,aux,0,ba,17,uci_internal_fixed,0.859375,0.503699288810314,0.2165440424039253,0.08057627214565251,0.25623359999735834,16.0,0.0,9.0,2
stage_a_uci_v2,sar_complete,aux,0,ba,29,uci_internal_fixed,0.8447265625,0.6318434008784773,0.2452522676079189,0.09349224752339405,0.22188109999842703,16.0,0.0,8.5,2
stage_a_uci_v2,sar_complete,aux,0,ba,43,uci_internal_fixed,0.880859375,0.40553300778210555,0.18031694825704694,0.06287712112426609,0.17081239999970416,16.0,0.0,8.0,2
stage_a_uci_v2,sar_complete,aux,4,ab,17,uci_internal_fixed,0.859375,0.5037000013167998,0.21654437269545612,0.08057571605142086,0.21777950000250712,16.0,0.0,9.0,2
stage_a_uci_v2,sar_complete,aux,4,ab,29,uci_internal_fixed,0.8447265625,0.6318433801107537,0.2452522483772659,0.0934922971484249,0.19026030000532046,16.0,0.0,8.5,2
stage_a_uci_v2,sar_complete,aux,4,ab,43,uci_internal_fixed,0.880859375,0.4055330613767488,0.18031695420240773,0.06287706964942585,0.21830259999842383,16.0,0.0,8.0,2
stage_a_uci_v2,sar_complete,aux,4,ba,17,uci_internal_fixed,0.859375,0.5037000013167998,0.21654437269545612,0.08057571605142086,0.23075884999707336,16.0,0.0,9.0,2
stage_a_uci_v2,sar_complete,aux,4,ba,29,uci_internal_fixed,0.8447265625,0.6318433801107537,0.2452522483772659,0.0934922971484249,0.18173139999998966,16.0,0.0,8.5,2
stage_a_uci_v2,sar_complete,aux,4,ba,43,uci_internal_fixed,0.880859375,0.4055330613767488,0.18031695420240773,0.06287706964942585,0.2826984999992419,16.0,0.0,8.0,2
stage_a_uci_v2,sar_complete,none,0,ab,17,uci_internal_fixed,0.8583984375,0.5041910631568645,0.21668658788135536,0.0815274040682121,0.1967870499938726,16.0,0.0,11.5,2
stage_a_uci_v2,sar_complete,none,0,ab,29,uci_internal_fixed,0.8447265625,0.6310401962076096,0.24513507703834234,0.0934082419371765,0.2380889999985811,16.0,0.0,13.5,2
stage_a_uci_v2,sar_complete,none,0,ab,43,uci_internal_fixed,0.880859375,0.40642774774184215,0.18061084884699802,0.06282332905460469,0.1658101500070188,16.0,0.0,13.5,2
stage_a_uci_v2,sar_complete,none,0,ba,17,uci_internal_fixed,0.8583984375,0.5040330793542003,0.21664599780433452,0.08152989594354004,0.19875740000134096,16.0,0.0,10.5,2
stage_a_uci_v2,sar_complete,none,0,ba,29,uci_internal_fixed,0.8447265625,0.6310450260353394,0.2451360271470333,0.09340779777830745,0.24584825000056296,16.0,0.0,13.0,2
stage_a_uci_v2,sar_complete,none,0,ba,43,uci_internal_fixed,0.880859375,0.40642945741847203,0.18061103928234776,0.06282168743919189,0.18140920000587354,16.0,0.0,13.5,2
stage_a_uci_v2,sar_complete,none,4,ab,17,uci_internal_fixed,0.8583984375,0.5037641486303785,0.21657729182921606,0.08153867859604605,0.2200679000015952,16.0,0.0,10.0,2
stage_a_uci_v2,sar_complete,none,4,ab,29,uci_internal_fixed,0.8447265625,0.6320447481779414,0.24530756036666548,0.0934954526290433,0.1993402500011143,16.0,0.0,9.0,2
stage_a_uci_v2,sar_complete,none,4,ab,43,uci_internal_fixed,0.880859375,0.4065084928958825,0.1806300931577187,0.0628265272126512,0.19707610000477865,16.0,0.0,11.5,2
stage_a_uci_v2,sar_complete,none,4,ba,17,uci_internal_fixed,0.859375,0.5038517687837049,0.21659213499645635,0.0805681462977542,0.2092369500023778,16.0,0.0,9.5,2
stage_a_uci_v2,sar_complete,none,4,ba,29,uci_internal_fixed,0.8447265625,0.6320447481779414,0.24530756036666548,0.0934954526290433,0.20118170000205282,16.0,0.0,9.0,2
stage_a_uci_v2,sar_complete,none,4,ba,43,uci_internal_fixed,0.880859375,0.4065084928958825,0.1806300931577187,0.0628265272126512,0.2051185999953304,16.0,0.0,11.5,2
stage_a_uci_v2,sar_complete,optimizer,0,ab,17,uci_internal_fixed,0.8583984375,0.5041910719180245,0.21668658789903744,0.08152739531957165,0.22882580000441521,16.0,0.0,11.5,2
stage_a_uci_v2,sar_complete,optimizer,0,ab,29,uci_internal_fixed,0.8447265625,0.6310401962076096,0.24513507703834234,0.0934082419371765,0.2665387000015471,16.0,0.0,13.5,2
stage_a_uci_v2,sar_complete,optimizer,0,ab,43,uci_internal_fixed,0.880859375,0.40642774774184215,0.18061084884699802,0.06282332905460469,0.18239370000082994,16.0,0.0,13.5,2
stage_a_uci_v2,sar_complete,optimizer,0,ba,17,uci_internal_fixed,0.8583984375,0.5040331431547219,0.216646030925671,0.08152986125904929,0.2215925499986042,16.0,0.0,10.5,2
stage_a_uci_v2,sar_complete,optimizer,0,ba,29,uci_internal_fixed,0.8447265625,0.6310450260353394,0.2451360271470333,0.09340779777830745,0.25704190000396915,16.0,0.0,13.0,2
stage_a_uci_v2,sar_complete,optimizer,0,ba,43,uci_internal_fixed,0.880859375,0.40642945741847203,0.18061103928234776,0.06282168743919189,0.21076424999773735,16.0,0.0,13.5,2
stage_a_uci_v2,sar_complete,optimizer,4,ab,17,uci_internal_fixed,0.8583984375,0.5037641486303785,0.21657729182921606,0.08153867859604605,0.2811496499998611,16.0,0.0,10.0,2
stage_a_uci_v2,sar_complete,optimizer,4,ab,29,uci_internal_fixed,0.8447265625,0.6320447481779414,0.24530756036666548,0.0934954526290433,0.19427745000575664,16.0,0.0,9.0,2
stage_a_uci_v2,sar_complete,optimizer,4,ab,43,uci_internal_fixed,0.880859375,0.4065084928958825,0.1806300931577187,0.0628265272126512,0.21079594999901013,16.0,0.0,11.5,2
stage_a_uci_v2,sar_complete,optimizer,4,ba,17,uci_internal_fixed,0.859375,0.5038517687837049,0.21659213499645635,0.0805681462977542,0.22432885000307573,16.0,0.0,9.5,2
stage_a_uci_v2,sar_complete,optimizer,4,ba,29,uci_internal_fixed,0.8447265625,0.6320447481779414,0.24530756036666548,0.0934954526290433,0.1962316999924951,16.0,0.0,9.0,2
stage_a_uci_v2,sar_complete,optimizer,4,ba,43,uci_internal_fixed,0.880859375,0.4065084928958825,0.1806300931577187,0.0628265272126512,0.2319967500006896,16.0,0.0,11.5,2
stage_a_uci_v2,sar_complete,optimizer_aux,0,ab,17,uci_internal_fixed,0.859375,0.503698549903575,0.21654373566293117,0.08057687450120081,0.23331755000253904,16.0,0.0,9.0,2
stage_a_uci_v2,sar_complete,optimizer_aux,0,ab,29,uci_internal_fixed,0.8447265625,0.6318435146653553,0.24525235301770004,0.09349226239343,0.18313219999254216,16.0,0.0,8.5,2
stage_a_uci_v2,sar_complete,optimizer_aux,0,ab,43,uci_internal_fixed,0.880859375,0.40553129810547567,0.1803167578216972,0.06287876273967889,0.22063180000259305,16.0,0.0,8.0,2
stage_a_uci_v2,sar_complete,optimizer_aux,0,ba,17,uci_internal_fixed,0.859375,0.503699288810314,0.2165440424039253,0.08057627214565251,0.25171080000291113,16.0,0.0,9.0,2
stage_a_uci_v2,sar_complete,optimizer_aux,0,ba,29,uci_internal_fixed,0.8447265625,0.6318434008784773,0.2452522676079189,0.09349224752339405,0.1891069999983301,16.0,0.0,8.5,2
stage_a_uci_v2,sar_complete,optimizer_aux,0,ba,43,uci_internal_fixed,0.880859375,0.40553300778210555,0.18031694825704694,0.06287712112426609,0.22813585000403686,16.0,0.0,8.0,2
stage_a_uci_v2,sar_complete,optimizer_aux,4,ab,17,uci_internal_fixed,0.859375,0.5037000013167998,0.21654437269545612,0.08057571605142086,0.2190887000033399,16.0,0.0,9.0,2
stage_a_uci_v2,sar_complete,optimizer_aux,4,ab,29,uci_internal_fixed,0.8447265625,0.6318433801107537,0.2452522483772659,0.0934922971484249,0.301749700003711,16.0,0.0,8.5,2
stage_a_uci_v2,sar_complete,optimizer_aux,4,ab,43,uci_internal_fixed,0.880859375,0.4055330613767488,0.18031695420240773,0.06287706964942585,0.20107499999721767,16.0,0.0,8.0,2
stage_a_uci_v2,sar_complete,optimizer_aux,4,ba,17,uci_internal_fixed,0.859375,0.5037000013167998,0.21654437269545612,0.08057571605142086,0.1992647500010207,16.0,0.0,9.0,2
stage_a_uci_v2,sar_complete,optimizer_aux,4,ba,29,uci_internal_fixed,0.8447265625,0.6318433801107537,0.2452522483772659,0.0934922971484249,0.20837939999910304,16.0,0.0,8.5,2
stage_a_uci_v2,sar_complete,optimizer_aux,4,ba,43,uci_internal_fixed,0.880859375,0.4055330613767488,0.18031695420240773,0.06287706964942585,0.17290325000067241,16.0,0.0,8.0,2
stage_a_uci_v2,sar_complete,parameters,0,ab,17,uci_internal_fixed,0.8583984375,0.5041926204920896,0.21668722437180815,0.08152613942305854,0.2083394000001135,16.0,0.0,11.5,2
stage_a_uci_v2,sar_complete,parameters,0,ab,29,uci_internal_fixed,0.8447265625,0.6310400616530081,0.24513497239790819,0.0934082766921714,0.2478754999974626,16.0,0.0,13.5,2
